"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Rpl22",6.50574184109139e-09,-0.514693385247652,1,1,0.000158649020536855
"Rpl23",6.88087144019722e-09,-0.409565506466871,1,1,0.00016779693094065
"Rpl38",7.88396196955579e-09,-0.514974027644824,1,1,0.000192258296589587
"Iigp1",8.11147111194896e-09,2.55134991718703,1,0.75,0.000197806334535987
"Cox6a1",9.05989552959589e-09,-0.55175516996045,1,1,0.000220934612384725
"Ifit2",1.11569183974783e-08,1.7870302190769,1,0.5,0.000272072612040906
"Cdk1",1.13648174964441e-08,1.37676120365497,1,1,0.000277142439468286
"Mcm3",1.3971836599853e-08,0.644945699388047,1,1,0.000340717207324015
"Arhgap11a",1.57291289110145e-08,0.508869476124661,1,1,0.000383570537623999
"Ddx60",1.59104063477086e-08,1.51543704927514,1,1,0.000387991169195221
"Daxx",1.6047929150875e-08,0.600189672719378,1,1,0.000391344800273238
"Rnf213",1.66030665326642e-08,1.77434888332457,1,1,0.00040488238046555
"1700016C15Rik",1.66816187848125e-08,0.741426206256994,1,1,0.000406797955686438
"Rps11",1.7487032806073e-08,-0.392182129801628,1,1,0.000426438782008896
"Psmb9",1.80955435059447e-08,1.78811215750409,1,1,0.000441277923935967
"Plk4",1.88868358748796e-08,0.533526188754119,1,0.75,0.000460574379644813
"Snhg9",2.25913829744522e-08,-0.47138301094925,1,1,0.000550913465214992
"Helz2",2.49528893273438e-08,0.575449316971867,1,1,0.000608501159136606
"Msln",2.5073150951297e-08,1.55726905322383,1,1,0.000611433859098329
"Kif11",2.55335418785257e-08,0.557768896925493,1,1,0.000622660952249728
"Slfn9",2.68732322251807e-08,1.71134834099137,1,1,0.000655330641043257
"Ndufa6",2.721104882423e-08,-0.590302863168856,1,1,0.000663568636627672
"Pet100",2.77526780808525e-08,-0.511558550473825,1,1,0.000676776807679668
"Samd9l",2.81377522890398e-08,1.49086237097706,1,1,0.000686167227320525
"Tnrc6b",2.83277272916794e-08,-0.448998721430572,1,1,0.000690799957734894
"Gbp7",2.83738340915427e-08,1.77008706607335,1,1,0.000691924318156361
"Irgm1",2.95336095992229e-08,1.83656769983451,1,1,0.00072020660368665
"Ly6a",3.16104648802251e-08,2.05821430079955,1,1,0.000770852796569169
"Gstm1",3.4643446999019e-08,-0.494863390163137,1,1,0.000844815098518078
"Trim25",3.67621895124111e-08,0.678144497685,1,1,0.000896482753449656
"Ifi211",3.76249449389479e-08,1.23746286829196,1,0.25,0.000917521907281184
"Cep55",3.97820716228922e-08,0.468669218172618,1,1,0.000970125598595849
"Grcc10",4.15307159582699e-08,-0.528787987572831,1,1,0.00101276803935837
"Racgap1",4.28117377816581e-08,0.658290275484966,1,1,0.00104400703754351
"Cul3",4.59927706465372e-08,-0.543577936271878,1,1,0.00112157970498646
"Micos10",5.04678019598674e-08,-0.469984055390276,1,1,0.00123070781859333
"Gmnn",5.31192962428717e-08,0.673125300671617,1,1,0.00129536715817867
"Ube2l6",5.36511342131924e-08,1.05344507274615,1,1,0.00130833655892291
"Oas1g",5.41118854110552e-08,0.430084509914367,1,0.25,0.00131957243763399
"Ly6c1",5.42418291395654e-08,1.70035454054905,1,1,0.00132274124539744
"Ehd4",5.94411284825138e-08,0.62360929003256,1,1,0.00144953135917458
"Gpr87",6.16419590494155e-08,0.632543924145473,1,1,0.00150320081337905
"Serpinb1a",6.3377134601045e-08,0.65197147997158,1,1,0.00154551480438108
"Mlkl",6.89494698979327e-08,0.473649947977297,1,1,0.00168140177293099
"Csnk2a1",7.12366391637315e-08,-0.455189443241268,1,1,0.00173717668264676
"Gm4951",7.46971940310279e-08,0.528239123046492,1,0.5,0.00182156577364065
"Cxcl10",7.60739072140849e-08,3.95179212302001,1,0.75,0.00185513830132267
"Susd4",8.53634978194397e-08,0.563968518033346,1,1,0.00208167425782486
"Spc25",9.10518977341356e-08,0.560920918032145,1,1,0.00222039157814463
"C3",9.37255788627362e-08,0.746163405416044,1,1,0.00228559196614668
"Sgo1",9.61893605545182e-08,0.46346084197241,1,1,0.00234567374648248
"AW112010",9.7046984997252e-08,1.76321019285783,1,1,0.00236658777614299
"Gmppb",9.93694957171155e-08,0.573799961540169,1,1,0.00242322452255758
"Rps27l",1.00767495879191e-07,-0.466587400084065,1,1,0.00245731615450994
"Smim11",1.02770798668297e-07,-0.427175671481497,1,1,0.0025061686963251
"Snrpf",1.03097416531074e-07,-0.487947473504319,1,1,0.00251413359952678
"Rpl27",1.04415800834973e-07,-0.435629142088969,1,1,0.00254628371916166
"Tomm7",1.10923744775975e-07,-0.746545249642077,1,1,0.00270498644010692
"Ngfr",1.17798612831063e-07,0.554713283549747,1,1,0.00287263697249831
"H1fx",1.17834719918016e-07,0.564090997369833,1,1,0.00287351747992074
"Mrps33",1.27002195650926e-07,-0.444386451571172,1,1,0.00309707554314348
"Aurka",1.28331285911067e-07,0.47991185000461,1,1,0.00312948673822728
"Rpl32",1.32861368597762e-07,-0.351961700057853,1,1,0.00323995733462501
"F2rl1",1.45022010772967e-07,0.645509363682836,1,1,0.00353650675470958
"Aida",1.46522828633395e-07,0.557549576561134,1,1,0.00357310569905398
"Psat1",1.56790933564865e-07,0.722208488847399,1,1,0.00382350370591281
"Cenpe",1.59231095492828e-07,1.31288505274364,1,1,0.00388300949468811
"Il33",1.6633943816851e-07,0.84810921579851,1,1,0.00405635353917728
"Dhx58",1.68521069418872e-07,1.1285700703971,1,0.75,0.00410955479884861
"Ccnb2",1.7730111214395e-07,0.989402739543856,1,1,0.00432366492074236
"Cenpf",1.84728420169567e-07,1.49343730096774,1,1,0.00450478725425507
"Vars",1.87883393093582e-07,0.681139806079481,1,1,0.00458172442398009
"9930111J21Rik2",1.90049622806093e-07,0.467668564491774,1,0.75,0.00463455010174939
"Zcchc7",1.95115299769083e-07,-0.44456804698077,1,1,0.00475808170016886
"Uqcrh",1.98305280585033e-07,-0.521914695240109,1,1,0.00483587257234661
"Tslp",2.10936207215954e-07,0.50412775139427,1,1,0.00514389034916825
"Ubl5",2.1561661453292e-07,-0.639863398954043,1,1,0.00525802676199979
"Dgkz",2.25885665222283e-07,0.491991701904311,1,1,0.0055084478321106
"Tor3a",2.33908553860095e-07,0.643895144718394,1,1,0.00570409399443229
"Clca2",2.43991212152825e-07,0.492158473237909,1,1,0.00594996969955878
"Rpl41",2.58212646331879e-07,-0.379679439300229,1,1,0.0062967735934492
"Cox6c",2.68550287242606e-07,-0.658507736886409,1,1,0.0065488673046982
