"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
8.6488337269939e-70,3.2725556762357,0.447,0.073,2.10910459266473e-65,"12","Igsf6"
1.09078049826697e-68,3.19478115609783,0.562,0.239,2.65997732307383e-64,"12","Gadd45b"
2.31399200940898e-68,3.00907979700381,0.452,0.093,5.64290091414474e-64,"12","Fgl2"
2.91100767747832e-67,0.824300886428287,0.986,0.708,7.09878332229862e-63,"12","Fos"
1.28537766898602e-66,2.49317192497863,0.469,0.098,3.13452198358931e-62,"12","Fcgr3"
3.46317503011478e-66,1.74668551266713,0.676,0.447,8.4452986284379e-62,"12","Myh9"
4.82868889320501e-66,2.60542397129431,0.536,0.138,1.17752407349697e-61,"12","Apbb1ip"
3.45293516155991e-65,3.21835985113436,0.423,0.094,8.42032768497999e-61,"12","Cxcr4"
2.96125026777517e-64,5.20294879333435,0.305,0.017,7.22130490299653e-60,"12","Trim30b"
9.1488617325401e-64,1.72959946338329,0.534,0.181,2.23104142209723e-59,"12","Cd24a"
2.23106535802957e-63,3.11201273275939,0.401,0.076,5.4406759820909e-59,"12","Nfkbid"
5.45041298129131e-63,3.10864556117233,0.423,0.083,1.3291377096177e-58,"12","Cd84"
1.3897312532824e-62,2.79076868501972,0.631,0.409,3.38899863425447e-58,"12","Nfkbia"
3.85165544316306e-62,2.96345286486145,0.421,0.076,9.39264696369744e-58,"12","Pirb"
5.49015250521985e-62,3.98827038064211,0.328,0.048,1.33882858992291e-57,"12","Osm"
1.17726749022934e-61,3.91125117385636,0.32,0.035,2.87088450167328e-57,"12","Jaml"
1.7405152431638e-61,2.01511028316623,0.58,0.213,4.24442047197924e-57,"12","Kctd12"
8.06682894697791e-61,1.77934343311401,0.665,0.343,1.96717690701003e-56,"12","Nr4a1"
1.33404083419903e-60,4.76023318443431,0.289,0.041,3.25319197827774e-56,"12","Csf1"
1.45337977193743e-60,2.10314704480969,0.712,0.459,3.54421191184661e-56,"12","Tpd52"
2.15388533814665e-60,3.06594307374956,0.367,0.069,5.25246478560441e-56,"12","Sell"
2.74236131486659e-60,7.21762083893408,0.271,0.003,6.68752230243366e-56,"12","Stfa2l1"
2.9412331169589e-60,3.84847460064184,0.353,0.042,7.17249107901597e-56,"12","Clec4n"
4.51685861966243e-60,2.54487579276647,0.445,0.12,1.10148114299088e-55,"12","Gngt2"
