"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Snrpf",7.25843106595421e-09,-1.0181090289365,1,1,0.000177004099974359
"Ifi35",1.10405898042956e-08,1.57110775603356,1,1,0.000269235822967553
"Krtcap2",1.17743288090219e-08,-0.494384880445425,1,1,0.000287128782336808
"Slc15a3",1.30318555890115e-08,1.49833667949333,1,1,0.000317794830393633
"Ndufb11",1.37987176949649e-08,-1.42113323928949,0.75,1,0.000336495529709415
"Trf",1.44264190315653e-08,-1.12648337015582,1,1,0.00035180265450375
"S100a10",1.45848688510195e-08,-0.610356332741488,1,1,0.00035566661180096
"Rpl22",1.62323551449587e-08,-1.40239743813285,1,1,0.000395842212564962
"Eef2",1.68486469270636e-08,-0.414790830419439,1,1,0.000410871103963374
"Ndufa2",1.93551282617023e-08,-0.7374726224887,1,1,0.000471994157789873
"Rps28",2.3643956686891e-08,-1.53937298310975,1,1,0.000576581527766523
"Nr4a1",2.47134069158962e-08,-0.974070203078835,1,1,0.000602661141051045
"Pik3ap1",2.60468875605874e-08,2.12375347580491,1,1,0.000635179400052484
"Gch1",3.05160256718562e-08,1.78045132715446,1,1,0.000744163802033885
"Npm1",3.08598046631492e-08,-1.01677687400796,1,1,0.000752547196515556
"Dbi",3.15411144004822e-08,-0.674277121057135,1,1,0.00076916161577016
"Tmem258",3.34437423719106e-08,-1.346393926913,0.75,1,0.000815559101481411
"Ly6a",3.3809983237647e-08,3.60541212273939,1,1,0.000824490251233261
"Treml2",3.43244013010591e-08,2.10571335561697,1,1,0.000837034850127628
"Emb",3.47164334774568e-08,-1.34456686538523,0.75,1,0.000846594946781263
"Trim30a",3.47211241091185e-08,2.03692273327705,1,1,0.000846709332524964
"Ndufa1",3.62781527103735e-08,-0.865477032479402,1,1,0.000884679031995167
"Ogfr",3.90486508003705e-08,1.68237440454721,1,1,0.000952240398417835
"Ccnd2",4.15645322774232e-08,1.63465764934503,1,1,0.00101359268411724
"Fam241a",4.32946950169323e-08,2.09871611736402,1,1,0.00105578443268291
"Aplp2",4.43366098967399e-08,-0.8372146973083,1,1,0.0010811925689419
"Cyp4f18",5.53219887654562e-08,1.51423210890696,1,1,0.00134908201803441
"Cox7a2l",5.55076638088231e-08,-1.08094073711931,1,1,0.00135360988964196
"Ppa1",5.62257099460959e-08,1.60473957551379,1,1,0.0013711201627455
"Dtx3l",5.69846527369532e-08,1.41169589118422,1,1,0.00138962774164334
"Rpl10a",5.88888710584807e-08,-1.09681084780871,1,1,0.00143606400963211
"Dck",6.86832463201839e-08,1.2277945769917,0.75,1,0.001674909644764
"Rpl4",7.54996696236408e-08,-1.05062066809079,1,1,0.0018411349434421
"Samd9l",7.68728430967882e-08,1.847715866547,1,1,0.00187462115175828
