,X,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene,Broad_cluster,Cluster,revised_cluster
135,Ttc36,0,6.6234805,0.281,0.004,0,13,Ttc36,Epithelial,Ciliated,Ciliated
136,Muc4,0,6.066632146,0.515,0.018,0,13,Muc4,Epithelial,Ciliated,Ciliated
137,Gabrp,0,5.850455382,0.58,0.02,0,13,Gabrp,Epithelial,Ciliated,Ciliated
138,Serpinb11,0,5.743341235,0.818,0.041,0,13,Serpinb11,Epithelial,Ciliated,Ciliated
139,Vtcn1,0,5.743017263,0.284,0.006,0,13,Vtcn1,Epithelial,Ciliated,Ciliated
140,Plet1,0,5.726843378,0.283,0.031,0,13,Plet1,Epithelial,Ciliated,Ciliated
141,Car10,0,7.908259832,0.323,0.001,0,14,Car10,Epithelial,Igfbp2+Nrcam+ Basal,Igfbp2+Nrcam+ Basal
142,Abca4,0,7.269124509,0.622,0.007,0,14,Abca4,Epithelial,Igfbp2+Nrcam+ Basal,Igfbp2+Nrcam+ Basal
143,Nrcam,0,7.169187721,0.771,0.014,0,14,Nrcam,Epithelial,Igfbp2+Nrcam+ Basal,Igfbp2+Nrcam+ Basal
144,Vit,0,6.12335752,0.614,0.012,0,14,Vit,Epithelial,Igfbp2+Nrcam+ Basal,Igfbp2+Nrcam+ Basal
145,Slc47a1,0,6.115065766,0.513,0.01,0,14,Slc47a1,Epithelial,Igfbp2+Nrcam+ Basal,Igfbp2+Nrcam+ Basal
146,Car12,0,5.393259349,0.748,0.026,0,14,Car12,Epithelial,Igfbp2+Nrcam+ Basal,Igfbp2+Nrcam+ Basal
147,Igfbp2,0,5.310808306,0.883,0.028,0,14,Igfbp2,Epithelial,Igfbp2+Nrcam+ Basal,Igfbp2+Nrcam+ Basal
148,Col23a1,0,5.275710567,0.589,0.019,0,14,Col23a1,Epithelial,Igfbp2+Nrcam+ Basal,Igfbp2+Nrcam+ Basal
149,Serpinb1b,0,5.275024583,0.263,0.006,0,14,Serpinb1b,Epithelial,Igfbp2+Nrcam+ Basal,Igfbp2+Nrcam+ Basal
150,Sema3d,0,5.131994767,0.574,0.024,0,14,Sema3d,Epithelial,Igfbp2+Nrcam+ Basal,Igfbp2+Nrcam+ Basal
151,Adgre4,0,5.912401516,0.338,0.008,0,15,Adgre4,Myeloid,IFN-Stim Mono,Non-Classical Mono
152,F10,0,5.745662014,0.359,0.007,0,15,F10,Myeloid,IFN-Stim Mono,Non-Classical Mono
153,F13a1,0,5.715297222,0.622,0.02,0,15,F13a1,Myeloid,IFN-Stim Mono,Non-Classical Mono
154,Treml4,0,5.666317375,0.255,0.007,0,15,Treml4,Myeloid,IFN-Stim Mono,Non-Classical Mono
155,Ear2,0,5.54106286,0.341,0.012,0,15,Ear2,Myeloid,IFN-Stim Mono,Non-Classical Mono
156,Apoc2,0,5.509052689,0.507,0.019,0,15,Apoc2,Myeloid,IFN-Stim Mono,Non-Classical Mono
157,Gm9733,0,5.021322867,0.288,0.01,0,15,Gm9733,Myeloid,IFN-Stim Mono,Non-Classical Mono
158,Ace,0,4.980653915,0.334,0.021,0,15,Ace,Myeloid,IFN-Stim Mono,Non-Classical Mono
159,AI839979,0,4.97779944,0.386,0.016,0,15,AI839979,Myeloid,IFN-Stim Mono,Non-Classical Mono
160,Gpr1411,0,4.869711322,0.615,0.026,0,15,Gpr141,Myeloid,IFN-Stim Mono,Non-Classical Mono
161,Adcy34,0,2.30332431,0.972,0.293,0,16,Adcy3,Neuron,Calb2+ OSN,Mature OSN
162,Umodl14,0,2.213904398,0.955,0.288,0,16,Umodl1,Neuron,Calb2+ OSN,Mature OSN
163,Mslnl5,0,2.087616498,0.621,0.181,0,16,Mslnl,Neuron,Calb2+ OSN,Mature OSN
164,Stom4,0,2.070215965,0.995,0.408,0,16,Stom,Neuron,Calb2+ OSN,Mature OSN
165,Ano24,0,2.053742866,0.759,0.229,0,16,Ano2,Neuron,Calb2+ OSN,Mature OSN
166,Cnga44,0,2.052911775,0.804,0.236,0,16,Cnga4,Neuron,Calb2+ OSN,Mature OSN
167,Cngb14,0,2.037922475,0.8,0.238,0,16,Cngb1,Neuron,Calb2+ OSN,Mature OSN
168,Gm429121,0,2.034899766,0.256,0.07,0,16,Gm42912,Neuron,Calb2+ OSN,Mature OSN
169,Cidea3,0,2.0270157,0.35,0.094,0,16,Cidea,Neuron,Calb2+ OSN,Mature OSN
170,Lrrn14,0,2.020329179,0.636,0.197,0,16,Lrrn1,Neuron,Calb2+ OSN,Mature OSN
171,Chil6,0,11.20015462,0.856,0.008,0,17,Chil6,Epithelial,Gpx6+Ces1a+ Gob/Sec,Gpx6+Ces1a+ Gob/Sec
172,5430419D17Rik,0,11.09133634,0.441,0.002,0,17,5430419D17Rik,Epithelial,Gpx6+Ces1a+ Gob/Sec,Gpx6+Ces1a+ Gob/Sec
173,Bpifb4,0,11.00903049,0.334,0.008,0,17,Bpifb4,Epithelial,Gpx6+Ces1a+ Gob/Sec,Gpx6+Ces1a+ Gob/Sec
174,Gpx6,0,10.98602148,0.339,0.008,0,17,Gpx6,Epithelial,Gpx6+Ces1a+ Gob/Sec,Gpx6+Ces1a+ Gob/Sec
175,Vmo1,0,10.47631436,0.983,0.029,0,17,Vmo1,Epithelial,Gpx6+Ces1a+ Gob/Sec,Gpx6+Ces1a+ Gob/Sec
176,Slc22a20,0,10.34971528,0.315,0.002,0,17,Slc22a20,Epithelial,Gpx6+Ces1a+ Gob/Sec,Gpx6+Ces1a+ Gob/Sec
177,Slc22a2,0,10.12644941,0.253,0.001,0,17,Slc22a2,Epithelial,Gpx6+Ces1a+ Gob/Sec,Gpx6+Ces1a+ Gob/Sec
178,Rgr,0,9.709692153,0.671,0.002,0,17,Rgr,Epithelial,Gpx6+Ces1a+ Gob/Sec,Gpx6+Ces1a+ Gob/Sec
179,Prss33,0,9.61991474,0.766,0.005,0,17,Prss33,Epithelial,Gpx6+Ces1a+ Gob/Sec,Gpx6+Ces1a+ Gob/Sec
180,Ptgds,0,9.019412056,0.299,0.003,0,17,Ptgds,Epithelial,Gpx6+Ces1a+ Gob/Sec,Gpx6+Ces1a+ Gob/Sec
181,Kl,0,9.274255695,0.538,0.001,0,18,Kl,Epithelial,Ionocyte,Ionocyte
182,Smbd1,0,9.124641556,0.962,0.006,0,18,Smbd1,Epithelial,Ionocyte,Ionocyte
