"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Mrpl134",4.36638091270097e-22,0.554956034581985,0.293,0.221,1.06478564937126e-17,"21","Mrpl13"
"Sbds6",1.19650684270662e-21,0.498772338970253,0.344,0.27,2.91780158662437e-17,"21","Sbds"
"Pdha18",1.2787917965346e-21,0.502867333325603,0.349,0.276,3.11846167502928e-17,"21","Pdha1"
"Enah10",3.08866798871878e-21,0.457546000202819,0.382,0.309,7.53202575728962e-17,"21","Enah"
"Anapc54",4.78159536614901e-21,0.50770570350735,0.345,0.274,1.1660398459891e-16,"21","Anapc5"
"Ralgapa17",1.37901795339551e-20,0.569072980308585,0.304,0.235,3.36287318115029e-16,"21","Ralgapa1"
"Dctn44",1.55446294501196e-20,0.484726882602254,0.353,0.281,3.79071333770617e-16,"21","Dctn4"
"Zfand35",1.6603167141193e-20,0.564004772394215,0.276,0.208,4.04884833905132e-16,"21","Zfand3"
"Irs25",1.8747781605423e-20,0.640186902774251,0.273,0.207,4.57183402229845e-16,"21","Irs2"
"Ap2m15",2.158375999305e-20,0.437905810473762,0.414,0.341,5.26341571190517e-16,"21","Ap2m1"
"Serinc16",2.92025323422427e-20,0.411432746032797,0.463,0.391,7.1213295369793e-16,"21","Serinc1"
"Pik3ca5",3.00182331149922e-20,0.579399891392393,0.254,0.188,7.320246327422e-16,"21","Pik3ca"
"Ndufa72",5.00576217606611e-20,0.295145584363291,0.756,0.734,1.22070516425548e-15,"21","Ndufa7"
"Pja27",8.15840784250106e-20,0.442519762543423,0.376,0.305,1.98950933647231e-15,"21","Pja2"
"Ndufa24",2.54720590239853e-19,0.291487945637997,0.796,0.78,6.21161631358906e-15,"21","Ndufa2"
"Clip15",2.67238086433667e-19,0.514968567120265,0.321,0.253,6.51686797577139e-15,"21","Clip1"
"Gnai37",2.88378582949526e-19,0.463224960988698,0.265,0.197,7.03240012380713e-15,"21","Gnai3"
"Cab396",3.27144555630594e-19,0.49391542326917,0.375,0.311,7.97774713360766e-15,"21","Cab39"
"Srsf76",5.34452166044051e-19,0.369551004440038,0.578,0.526,1.30331505211502e-14,"21","Srsf7"
"Chd69",1.17826038155161e-18,0.429146474272096,0.397,0.327,2.87330576645175e-14,"21","Chd6"
"Eif3j19",1.29018050399772e-18,0.492413947775775,0.307,0.24,3.14623417704884e-14,"21","Eif3j1"
"Hadhb6",4.05786552117202e-18,0.49513224219599,0.327,0.262,9.89551085993009e-14,"21","Hadhb"
"Psmb65",4.64329799860164e-18,0.31661517901072,0.6,0.552,1.132314649939e-13,"21","Psmb6"
"Itm2c6",4.82697711666747e-18,0.480905654441151,0.397,0.333,1.17710663967053e-13,"21","Itm2c"
"Mrfap17",8.53233519001631e-18,0.310321343843246,0.61,0.559,2.08069525943738e-13,"21","Mrfap1"
"Ndufs38",1.07660836180849e-17,0.426011668510309,0.418,0.355,2.62541715110618e-13,"21","Ndufs3"
"Stx4a2",1.98717570060267e-17,0.498544676735226,0.256,0.193,4.84592666348968e-13,"21","Stx4a"
"Atp5a15",2.29400645982253e-17,0.269075553992834,0.82,0.806,5.59416415292322e-13,"21","Atp5a1"
"Sptan16",3.73588574508201e-17,0.384131186158247,0.381,0.313,9.110330977957e-13,"21","Sptan1"
"Mib13",3.97682064849291e-17,0.511750736906034,0.253,0.191,9.69787483341481e-13,"21","Mib1"
"Nek74",5.37255251035557e-17,0.434164613310695,0.344,0.279,1.31015065517531e-12,"21","Nek7"
"Cuedc25",5.38192169620727e-17,0.458869587087932,0.317,0.253,1.3124354248371e-12,"21","Cuedc2"
"Fbxw24",6.29253928954789e-17,0.426355772734469,0.297,0.231,1.53449863114915e-12,"21","Fbxw2"
"Kmt2e4",7.61728660268882e-17,0.320165334512678,0.553,0.502,1.8575515109317e-12,"21","Kmt2e"
"Sumo34",9.15783435538051e-17,0.495791886822922,0.314,0.251,2.23322948590309e-12,"21","Sumo3"
"H1f08",2.16287533831883e-16,0.422715764203565,0.299,0.235,5.2743878000243e-12,"21","H1f0"
"Smim144",2.23479748670882e-16,0.275293213158504,0.487,0.421,5.44977715108812e-12,"21","Smim14"
"Dnajc113",2.80481754371163e-16,0.45603464482995,0.271,0.209,6.83982806209517e-12,"21","Dnajc1"
"Ccdc1745",3.16500876946328e-16,0.561558939342404,0.27,0.211,7.71819038521316e-12,"21","Ccdc174"
"Arap27",4.43987748535045e-16,0.505632948122099,0.302,0.241,1.08270852357756e-11,"21","Arap2"
"Impad17",6.48502763520691e-16,0.53983720253063,0.257,0.2,1.58143883912156e-11,"21","Impad1"
"Fmc17",6.52546692356225e-16,0.491963684266187,0.35,0.291,1.59130036397989e-11,"21","Fmc1"
"Sqstm15",8.14620342632672e-16,0.273140151924201,0.412,0.344,1.98653316754403e-11,"21","Sqstm1"
"Tmem1657",8.93773487856037e-16,0.549438122572292,0.254,0.197,2.17955602748573e-11,"21","Tmem165"
"Atp5k6",1.54785187468663e-15,0.32261678213108,0.73,0.699,3.77459158161081e-11,"21","Atp5k"
"Wdr16",1.8760859771605e-15,0.409072403113944,0.371,0.311,4.57502326390359e-11,"21","Wdr1"
"Secisbp2l2",1.91883917030003e-15,0.432596157892234,0.251,0.193,4.67928120069366e-11,"21","Secisbp2l"
"Brd45",1.95035999451437e-15,0.427533962942191,0.335,0.273,4.75614788262273e-11,"21","Brd4"
"Dip2c6",3.10223837687533e-15,0.428036578549696,0.271,0.209,7.56511850584819e-11,"21","Dip2c"
"Ahcyl16",6.41250770027969e-15,0.347975638702943,0.375,0.308,1.5637541277902e-10,"21","Ahcyl1"
"Mier14",1.07553232229369e-14,0.363968271944771,0.48,0.43,2.62279312114538e-10,"21","Mier1"
"Med13l7",1.22243932167215e-14,0.409212044080046,0.333,0.273,2.98104052982971e-10,"21","Med13l"
"Etfb7",3.02646351727471e-14,0.346173511664807,0.448,0.391,7.38033393322611e-10,"21","Etfb"
