"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Arf5",8.22665865384557e-31,-0.802457317388684,1,1,2.00615297932678e-26
"Atp5o",8.83101507863229e-31,-0.367622871967991,1,1,2.15353133707527e-26
"Rps13",9.28560256768481e-31,-0.365579584860019,1,1,2.26438704215562e-26
"Coch",9.65894580227995e-31,1.30767855561856,1,1,2.35543052334399e-26
"Rpl32",1.14161605622853e-30,-0.321384167021184,1,1,2.78394491471889e-26
"Atp5g2",1.49772652266491e-30,-0.507472318392507,1,1,3.65235589817065e-26
"Eif3f",1.58656172600069e-30,-0.645606149508163,1,1,3.86898942502528e-26
"H2afz",1.99989564776021e-30,-0.34350738307225,1,1,4.87694552662806e-26
"Rps14",2.31599011971666e-30,-0.326291631875101,1,1,5.64777350594106e-26
"Rbm3",2.38347598778314e-30,-0.556837085113927,1,1,5.81234454380797e-26
"Atp5md",2.73488367580846e-30,-0.380216537188709,1,1,6.66928733182652e-26
"Rps19",4.17466201862068e-30,-0.36899623618178,1,1,1.01803307986084e-25
"Rpl3",4.49056353766856e-30,-0.437412611355271,1,1,1.09506882429585e-25
"Psmb2",5.14539706108251e-30,-0.667149529982736,1,1,1.25475652731558e-25
"Atp5j2",5.7966430516284e-30,-0.412531323821843,1,1,1.4135693745701e-25
"Cox5a",1.02670212035337e-29,-0.427776374183812,1,1,2.50371579069372e-25
"Myl6",1.22317070391962e-29,-0.409395730771102,1,1,2.9828240785784e-25
"Atp5g1",1.22331423388178e-29,-0.572423061778588,1,1,2.9831740907441e-25
"Ndufa6",1.41582171468322e-29,-0.456175247429599,1,1,3.45262283342649e-25
"Dynlrb1",1.86557444323593e-29,-0.444315483038197,1,1,4.54938983727513e-25
"Lpcat4",1.99298727288077e-29,-0.591011609281369,1,1,4.86009876364704e-25
"Npm1",2.53453477814237e-29,-0.501784460911693,1,1,6.18071650997799e-25
"Aldoa",2.81908105310836e-29,-0.499930447798214,1,1,6.87461105611004e-25
"Apoe",2.88963611301481e-29,1.34824617234467,1,1,7.04666662519791e-25
"Rbx1",4.42362300018385e-29,-0.49792878288365,1,1,1.07874470482483e-24
"Ypel3",5.9060308817712e-29,-0.379421946272472,1,1,1.44024469082872e-24
"Malat1",6.55388492610733e-29,-0.222663771727827,1,1,1.59823037808053e-24
"Prdx5",6.71153342776713e-29,-0.574345656306038,1,1,1.63667454169529e-24
"Cox6c",7.40764638148772e-29,-0.352744950628293,1,1,1.8064286465896e-24
"Rpl19",8.555707938763e-29,-0.344545228332286,1,1,2.08639493794675e-24
"Rpl7",1.08318105475116e-28,-0.39858820426083,1,1,2.64144532011619e-24
"Rpl37a",1.11278905280444e-28,-0.28263553374332,1,1,2.71364738416891e-24
"Ndufv3",1.16571377601437e-28,-0.422158180379149,1,1,2.84270961418863e-24
"Bpifa1",1.20927471446004e-28,1.46359971571755,1,1,2.94893731868225e-24
"H3f3b",1.31295157277532e-28,-0.299201419522535,1,1,3.2017637053699e-24
"Tmed2",1.43457928294001e-28,-0.474753338224343,1,1,3.49836503937751e-24
"Eif5a",1.45535626122283e-28,-0.501668801827067,1,1,3.549031778618e-24
"Rhoa",2.43155796345137e-28,-0.638207705433777,1,1,5.92959724967251e-24
"Hsp90ab1",3.27338999163263e-28,-0.198298503033461,1,1,7.98248883359533e-24
"Rpl7a",3.63182473775445e-28,-0.430776461069643,1,1,8.85656780548799e-24
"Spcs2",5.70380395142305e-28,-0.442846374700963,1,1,1.39092963159403e-23
"Nedd8",6.71110143855917e-28,-0.48582882641358,1,1,1.63656919680704e-23
"Bsg",8.8143914301899e-28,-0.595770451742484,1,1,2.14947749416611e-23
"Rpl27",1.47620345489918e-27,-0.512860258255432,1,1,3.59986974511713e-23
"Ndufb1-ps",1.82941500439228e-27,-0.358906462599652,1,1,4.46121142971101e-23
"H2afy",1.93322424309194e-27,-0.333024041327926,1,1,4.714360639204e-23
